sexe;enfant_conduite_accompagne;usage_vehicule;type_vehicule;est_rouge;age_vehicule;date_demande;etat_dossier;formule;tarif_devis;Id_Anonyme;Info Enfants;Revenus_Tranche
M;2;Private;z_SUV;no;11.0;16/09/2021 03:10;complet;dev_express;252.33;28;"""Oui""";"""0-20k"""
M;0;Commercial;Panel Truck;no;12.0;23/03/2022 01:32;complet;dev_vip;648.13;29;"""Non""";Non renseigné
F;0;Commercial;Sports Car;no;1.0;17/05/2019 05:22;complet;dev_premium;323.43;30;"""Non""";"""20_40k"""
F;0;Private;z_SUV;no;15.0;23/03/2022 22:20;complet;dev_premium;459.83;31;"""Oui""";"""60k+"""
F;0;Private;z_SUV;no;1.0;23/05/2021 21:35;complet;dev_premium;536.95;32;"""Oui""";"""20_40k"""
M;1;Private;Minivan;no;12.0;14/03/2021 03:52;complet;dev_integral;332.86;33;"""Oui""";"""40_60k"""
M;0;Private;z_SUV;no;12.0;23/10/2019 20:24;complet;dev_express;284.24;34;"""Non""";"""60k+"""
M;0;Private;z_SUV;no;12.0;29/05/2021 11:35;complet;dev_premium;449.02;35;"""Oui""";Non renseigné
M;0;Commercial;Panel Truck;no;;15/10/2021 18:02;complet;dev_express;277.16;36;"""Non""";"""20_40k"""
F;0;Private;Minivan;no;1.0;05/08/2021 14:52;complet;dev_express;274.1;37;"""Non""";"""40_60k"""
F;2;Commercial;Minivan;no;9.0;13/03/2022 01:10;complet;dev_express;261.28;38;"""Oui""";"""60k+"""
M;0;Private;z_SUV;no;10.0;09/03/2022 03:43;complet;dev_premium;343.17;39;"""Non""";"""40_60k"""
M;0;Commercial;Panel Truck;no;15.0;07/07/2019 22:08;complet;dev_premium;367.34;40;"""Non""";"""60k+"""
F;0;Commercial;Van;yes;13.0;28/08/2019 06:32;complet;dev_integral;321.4;41;"""Non""";"""20_40k"""
F;0;Private;Minivan;no;12.0;05/04/2020 11:02;complet;dev_integral;290.18;42;"""Non""";"""0-20k"""
M;0;Private;Minivan;no;14.0;29/01/2022 10:17;complet;dev_premium;389.24;43;"""Non""";"""60k+"""
M;0;Private;z_SUV;no;9.0;05/10/2019 15:17;complet;dev_integral;288.67;44;"""Non""";"""20_40k"""
F;0;Commercial;Van;no;15.0;13/07/2019 02:01;complet;dev_express;268.86;45;"""Oui""";"""60k+"""
M;0;Private;Sports Car;no;1.0;11/09/2021 03:01;complet;dev_integral;316.92;46;"""Non""";"""60k+"""
M;0;Private;z_SUV;no;11.0;01/04/2020 15:43;complet;dev_integral;290.89;47;"""Non""";"""60k+"""
F;0;Commercial;z_SUV;no;6.0;29/05/2021 20:00;complet;dev_express;250.44;48;"""Non""";"""0-20k"""
M;0;Commercial;Pickup;no;7.0;28/03/2019 19:42;complet;dev_integral;305.1;49;"""Non""";"""0-20k"""
F;0;Private;Sports Car;no;8.0;25/06/2021 20:29;complet;dev_express;270.98;50;"""Non""";"""60k+"""
M;0;Private;Minivan;no;1.0;22/06/2019 13:03;complet;dev_express;277.37;51;"""Non""";"""20_40k"""
F;0;Commercial;Panel Truck;yes;5.0;23/05/2021 17:13;complet;dev_premium;338.8;52;"""Non""";"""40_60k"""
F;0;Commercial;Minivan;yes;5.0;29/12/2020 07:40;complet;dev_integral;300.68;53;"""Oui""";"""20_40k"""
F;0;Commercial;z_SUV;no;;16/10/2019 20:24;complet;dev_integral;320.16;54;"""Non""";"""0-20k"""
M;0;Private;Minivan;yes;15.0;03/07/2020 00:37;complet;dev_express;252.67;55;"""Non""";"""60k+"""
M;0;Private;z_SUV;no;5.0;21/08/2020 15:57;complet;dev_express;255.98;56;"""Oui""";"""20_40k"""
F;0;Private;Minivan;yes;1.0;09/08/2020 16:59;complet;dev_express;251.88;57;"""Oui""";"""20_40k"""
F;0;Private;Minivan;yes;;14/06/2019 10:12;complet;dev_premium;527.61;58;"""Non""";"""60k+"""
F;0;Commercial;Minivan;no;11.0;17/10/2021 02:22;incomplet;dev_integral;336.9;59;"""Non""";"""40_60k"""
F;0;Commercial;Pickup;yes;6.0;27/04/2019 20:03;complet;dev_premium;415.2;60;"""Non""";"""0-20k"""
M;0;Private;Minivan;yes;1.0;10/07/2020 16:25;incomplet;dev_integral;319.57;61;"""Oui""";"""0-20k"""
F;1;Commercial;Sports Car;no;;06/10/2019 17:01;complet;dev_integral;338.03;62;"""Oui""";Non renseigné
M;0;Private;Minivan;no;16.0;18/08/2021 15:48;incomplet;dev_integral;336.66;63;"""Oui""";"""40_60k"""
F;0;Private;z_SUV;no;1.0;01/01/2020 09:43;complet;dev_integral;305.5;64;"""Oui""";"""0-20k"""
F;0;Private;Minivan;yes;6.0;13/05/2020 03:16;complet;dev_premium;432.55;65;"""Non""";"""40_60k"""
F;1;Private;Van;no;13.0;18/10/2020 19:27;complet;dev_express;282.14;66;"""Oui""";"""60k+"""
F;0;Private;Minivan;yes;1.0;03/12/2020 12:27;complet;dev_integral;298.62;67;"""Oui""";"""20_40k"""
F;0;Commercial;Panel Truck;yes;10.0;26/03/2022 07:37;complet;dev_integral;310.66;68;"""Non""";Non renseigné
F;1;Private;Minivan;no;10.0;26/05/2022 05:51;complet;dev_express;261.6;69;"""Oui""";"""20_40k"""
M;0;Private;z_SUV;no;1.0;27/01/2022 09:33;complet;dev_premium;380.99;70;"""Oui""";"""20_40k"""
F;0;Private;z_SUV;no;8.0;23/03/2021 01:52;complet;dev_integral;293.7;71;"""Oui""";"""40_60k"""
F;0;Private;Sports Car;no;10.0;26/03/2021 04:18;complet;dev_integral;329.66;72;"""Non""";"""0-20k"""
M;1;Private;Pickup;no;1.0;08/07/2019 16:55;complet;dev_express;280.67;73;"""Oui""";"""0-20k"""
F;0;Private;z_SUV;no;4.0;06/02/2020 04:47;complet;dev_express;264.91;74;"""Oui""";Non renseigné
F;2;Private;Sports Car;no;;19/05/2021 10:30;complet;dev_express;272.75;75;"""Oui""";"""40_60k"""
F;2;Private;Sports Car;no;15.0;21/03/2021 05:20;complet;dev_premium;429.48;76;"""Oui""";"""60k+"""
F;0;Commercial;Panel Truck;no;18.0;13/11/2019 04:25;complet;dev_integral;333.86;77;"""Non""";Non renseigné
F;0;Private;Minivan;no;11.0;10/12/2020 05:03;complet;dev_express;267.92;78;"""Non""";"""60k+"""
M;0;Private;z_SUV;no;20.0;12/05/2021 18:57;complet;dev_express;262.71;79;"""Oui""";"""60k+"""
M;0;Commercial;Panel Truck;yes;12.0;19/08/2020 21:38;complet;dev_premium;441.2;80;"""Non""";Non renseigné
F;0;Commercial;Pickup;yes;;17/06/2020 13:00;complet;dev_premium;517.59;81;"""Non""";"""60k+"""
M;0;Commercial;Panel Truck;yes;17.0;20/11/2021 17:21;complet;dev_express;269.69;82;"""Non""";"""60k+"""
F;0;Private;z_SUV;no;18.0;08/05/2022 13:32;complet;dev_express;251.44;83;"""Non""";"""60k+"""
F;0;Private;Minivan;no;1.0;04/11/2019 17:29;complet;dev_integral;289.5;84;"""Non""";"""60k+"""
F;1;Private;Minivan;yes;11.0;07/03/2021 13:47;incomplet;dev_integral;320.46;85;"""Oui""";"""60k+"""
F;0;Private;Sports Car;no;7.0;17/09/2021 20:47;complet;dev_premium;384.29;86;"""Non""";"""40_60k"""
F;0;Private;Sports Car;no;;01/07/2019 08:41;complet;dev_integral;329.31;87;"""Non""";"""0-20k"""
F;1;Commercial;z_SUV;no;3.0;31/07/2021 13:10;complet;dev_express;265.72;88;"""Oui""";Non renseigné
M;0;Private;Sports Car;no;1.0;05/11/2019 17:22;complet;dev_integral;296.82;89;"""Non""";"""20_40k"""
M;0;Commercial;Pickup;no;1.0;13/04/2020 18:22;complet;dev_integral;327.11;90;"""Non""";"""20_40k"""
M;0;Private;z_SUV;no;12.0;01/10/2019 05:09;complet;dev_integral;289.58;91;"""Non""";"""20_40k"""
M;0;Private;z_SUV;no;14.0;10/02/2021 11:35;complet;dev_express;270.16;92;"""Non""";"""0-20k"""
F;0;Commercial;Sports Car;no;1.0;07/04/2019 15:35;complet;dev_express;273.11;93;"""Oui""";"""60k+"""
F;0;Private;Minivan;no;14.0;27/09/2020 05:29;complet;dev_express;280.79;94;"""Non""";"""60k+"""
F;0;Private;Minivan;no;6.0;03/06/2019 06:45;complet;dev_integral;295.96;95;"""Oui""";"""0-20k"""
M;0;Private;Minivan;no;11.0;18/02/2020 05:08;complet;dev_integral;339.37;96;"""Non""";"""60k+"""
M;0;Commercial;Van;no;6.0;02/05/2022 08:44;complet;dev_integral;307.66;97;"""Non""";"""0-20k"""
M;0;Commercial;z_SUV;no;1.0;05/12/2021 01:15;complet;dev_express;267.5;98;"""Non""";"""20_40k"""
M;0;Private;z_SUV;no;8.0;25/05/2021 16:25;complet;dev_integral;282.94;99;"""Non""";"""40_60k"""
M;0;Private;Minivan;no;1.0;15/04/2022 13:09;complet;dev_integral;302.89;100;"""Oui""";"""20_40k"""
F;0;Private;Pickup;no;;07/01/2020 15:53;complet;dev_premium;362.88;101;"""Non""";"""60k+"""
M;0;Private;Minivan;no;13.0;11/05/2022 02:24;complet;dev_express;279.3;102;"""Non""";"""40_60k"""
F;0;Commercial;Pickup;yes;11.0;27/01/2020 17:29;complet;dev_premium;476.88;103;"""Non""";"""60k+"""
F;0;Private;z_SUV;no;;28/03/2021 02:14;complet;dev_express;257.85;104;"""Non""";"""20_40k"""
F;0;Private;Sports Car;no;8.0;13/05/2021 07:14;complet;dev_integral;319.18;105;"""Oui""";"""0-20k"""
F;2;Private;Minivan;yes;9.0;05/05/2019 21:43;complet;dev_integral;326.39;106;"""Oui""";"""60k+"""
F;0;Private;Van;yes;15.0;25/02/2021 14:56;complet;dev_express;282.42;107;"""Non""";"""40_60k"""
F;0;Private;z_SUV;no;1.0;18/08/2020 02:20;incomplet;dev_premium;548.28;108;"""Oui""";"""0-20k"""
F;0;Private;Minivan;yes;17.0;26/03/2020 16:10;complet;dev_integral;285.39;109;"""Non""";"""60k+"""
F;0;Private;Minivan;yes;9.0;27/02/2020 08:07;complet;dev_integral;301.6;110;"""Non""";"""60k+"""
M;0;Commercial;Panel Truck;yes;17.0;19/01/2020 10:36;complet;dev_integral;323.05;111;"""Non""";Non renseigné
M;0;Private;z_SUV;no;1.0;29/03/2019 06:50;incomplet;dev_express;272.82;112;"""Non""";"""20_40k"""
M;0;Commercial;Panel Truck;yes;14.0;28/03/2019 01:58;complet;dev_premium;402.33;113;"""Non""";"""60k+"""
M;1;Private;Pickup;yes;8.0;10/05/2021 17:17;complet;dev_integral;302.37;114;"""Oui""";"""0-20k"""
M;0;Commercial;Minivan;yes;5.0;26/09/2020 15:06;incomplet;dev_express;272.73;115;"""Oui""";"""0-20k"""
F;0;Commercial;z_SUV;no;6.0;27/05/2021 17:58;complet;dev_express;276.71;116;"""Non""";Non renseigné
M;1;Private;Minivan;no;14.0;03/07/2019 01:46;complet;dev_premium;525.41;117;"""Oui""";"""20_40k"""
F;0;Private;z_SUV;no;10.0;20/06/2021 02:25;complet;dev_express;258.13;118;"""Non""";"""40_60k"""
F;0;Private;z_SUV;no;7.0;30/05/2019 03:24;complet;dev_premium;441.11;119;"""Oui""";"""0-20k"""
M;0;Commercial;Minivan;no;10.0;25/06/2019 17:44;complet;dev_express;270.59;120;"""Non""";"""60k+"""
F;0;Commercial;Panel Truck;no;1.0;27/09/2021 03:47;complet;dev_integral;316.65;121;"""Non""";"""60k+"""
F;0;Commercial;z_SUV;no;1.0;28/11/2021 08:37;complet;dev_express;269.73;122;"""Non""";"""20_40k"""
M;0;Private;z_SUV;no;16.0;26/03/2019 20:43;complet;dev_integral;288.08;123;"""Oui""";"""60k+"""
F;0;Commercial;Pickup;yes;15.0;02/10/2019 01:11;complet;dev_express;268.05;124;"""Non""";"""60k+"""
M;2;Private;z_SUV;no;1.0;29/04/2019 08:56;complet;dev_integral;326.41;125;"""Oui""";"""60k+"""
F;0;Commercial;Pickup;yes;5.0;16/10/2020 12:15;complet;dev_premium;409.92;126;"""Non""";"""60k+"""
F;0;Private;z_SUV;no;1.0;10/07/2019 09:15;incomplet;dev_express;259.81;127;"""Non""";"""60k+"""
M;0;Commercial;Van;yes;;18/10/2020 07:55;complet;dev_integral;311.61;128;"""Oui""";"""60k+"""
F;1;Private;Sports Car;no;10.0;07/04/2020 16:56;complet;dev_integral;333.29;129;"""Oui""";Non renseigné
F;0;Private;z_SUV;no;15.0;12/04/2022 01:20;complet;dev_integral;321.99;130;"""Non""";"""60k+"""
M;0;Private;Van;yes;13.0;20/10/2021 21:08;complet;dev_integral;300.66;131;"""Non""";Non renseigné
M;0;Commercial;Van;no;;08/10/2021 12:39;incomplet;dev_integral;295.07;132;"""Non""";"""60k+"""
F;0;Commercial;Panel Truck;yes;;21/08/2020 06:26;complet;dev_premium;391.14;133;"""Non""";"""40_60k"""
F;0;Commercial;Van;yes;8.0;04/03/2022 09:15;complet;dev_express;278.63;134;"""Non""";"""40_60k"""
M;1;Private;Sports Car;no;21.0;15/07/2020 07:56;complet;dev_integral;339.94;135;"""Oui""";"""40_60k"""
M;0;Commercial;Pickup;no;18.0;25/04/2021 00:28;incomplet;dev_integral;338.3;136;"""Oui""";"""60k+"""
F;3;Commercial;Sports Car;no;6.0;20/01/2021 05:52;complet;dev_integral;302.2;137;"""Oui""";"""60k+"""
F;0;Private;Minivan;yes;11.0;05/02/2022 17:39;complet;dev_express;271.83;138;"""Non""";"""60k+"""
F;0;Private;Pickup;no;17.0;22/01/2021 22:38;complet;dev_integral;329.63;139;"""Oui""";"""60k+"""
F;0;Private;Minivan;no;17.0;15/06/2019 13:09;complet;dev_premium;521.43;140;"""Non""";"""60k+"""
F;1;Private;z_SUV;no;1.0;27/01/2020 11:22;complet;dev_express;276.16;141;"""Oui""";"""20_40k"""
M;0;Private;Pickup;no;1.0;28/04/2021 01:05;complet;dev_integral;316.54;142;"""Oui""";"""20_40k"""
F;0;Private;z_SUV;no;10.0;25/04/2022 14:43;complet;dev_integral;287.68;143;"""Non""";"""40_60k"""
F;0;Private;Pickup;yes;1.0;26/11/2019 12:06;complet;dev_integral;329.99;144;"""Non""";"""40_60k"""
F;0;Private;Minivan;no;9.0;02/06/2019 22:52;complet;dev_express;260.9;145;"""Non""";"""60k+"""
M;0;Commercial;Van;yes;14.0;09/06/2021 00:59;complet;dev_integral;289.58;146;"""Non""";"""60k+"""
F;0;Private;z_SUV;no;1.0;30/03/2020 15:53;complet;dev_integral;283.93;147;"""Non""";"""40_60k"""
M;0;Private;Minivan;yes;1.0;08/08/2019 11:12;complet;dev_express;270.14;148;"""Non""";"""0-20k"""
M;0;Commercial;Panel Truck;yes;11.0;03/03/2020 08:27;complet;dev_premium;334.89;149;"""Non""";"""60k+"""
M;0;Private;z_SUV;no;1.0;17/09/2019 01:53;complet;dev_integral;304.93;150;"""Oui""";"""20_40k"""
M;0;Private;Minivan;no;16.0;20/03/2022 03:44;complet;dev_express;270.39;151;"""Oui""";"""60k+"""
F;0;Private;z_SUV;no;7.0;10/06/2020 23:10;incomplet;dev_integral;318.12;152;"""Non""";"""60k+"""
M;0;Private;z_SUV;no;9.0;27/08/2021 19:09;complet;dev_express;265.41;153;"""Non""";"""60k+"""
M;0;Commercial;Van;no;4.0;20/09/2020 09:18;complet;dev_express;264.18;154;"""Oui""";"""60k+"""
M;1;Private;Minivan;no;;27/03/2022 09:22;complet;dev_premium;376.14;155;"""Oui""";"""20_40k"""
F;0;Commercial;Pickup;no;9.0;26/05/2021 17:15;complet;dev_express;256.67;156;"""Non""";"""40_60k"""
F;1;Private;z_SUV;no;;28/07/2021 16:37;complet;dev_express;269.9;157;"""Oui""";"""60k+"""
F;0;Private;z_SUV;no;15.0;12/11/2021 01:58;complet;dev_premium;431.1;158;"""Non""";"""60k+"""
M;0;Commercial;Pickup;yes;1.0;29/04/2019 04:39;complet;dev_integral;285.3;159;"""Non""";"""0-20k"""
F;0;Private;z_SUV;no;1.0;08/08/2019 14:10;complet;dev_integral;307.2;160;"""Oui""";"""20_40k"""
M;0;Private;Minivan;no;14.0;14/04/2020 07:03;complet;dev_integral;320.06;161;"""Non""";"""0-20k"""
F;0;Commercial;Van;yes;7.0;16/05/2022 02:39;complet;dev_premium;372.97;162;"""Non""";Non renseigné
M;0;Commercial;Pickup;no;1.0;08/11/2020 08:32;complet;dev_express;251.18;163;"""Non""";"""40_60k"""
M;0;Private;Sports Car;no;16.0;07/05/2021 08:22;complet;dev_premium;424.09;164;"""Non""";"""60k+"""
F;0;Private;Minivan;no;8.0;27/03/2021 19:35;complet;dev_express;264.46;165;"""Non""";"""60k+"""
M;0;Private;z_SUV;no;20.0;23/10/2020 08:50;complet;dev_integral;320.3;166;"""Oui""";"""40_60k"""
F;1;Commercial;Pickup;no;1.0;25/03/2022 22:17;incomplet;dev_express;259.02;167;"""Oui""";"""0-20k"""
F;0;Commercial;Sports Car;no;1.0;06/02/2022 07:52;complet;dev_premium;455.67;168;"""Oui""";"""40_60k"""
F;0;Private;z_SUV;no;15.0;18/09/2019 01:24;incomplet;dev_integral;316.56;169;"""Oui""";"""60k+"""
M;0;Private;Pickup;no;1.0;02/04/2021 10:09;complet;dev_express;257.85;170;"""Non""";"""0-20k"""
M;0;Private;z_SUV;no;10.0;09/11/2021 01:27;complet;dev_integral;335.47;171;"""Non""";"""60k+"""
M;0;Private;Sports Car;no;13.0;05/02/2021 08:19;complet;dev_premium;520.56;172;"""Non""";"""60k+"""
F;0;Private;Pickup;yes;17.0;05/11/2021 10:07;complet;dev_integral;280.54;173;"""Non""";"""20_40k"""
M;0;Private;Pickup;yes;12.0;06/04/2020 15:35;complet;dev_express;251.92;174;"""Non""";"""20_40k"""
M;0;Private;Pickup;yes;18.0;19/06/2021 14:57;incomplet;dev_express;278.03;175;"""Non""";"""40_60k"""
F;0;Private;Minivan;no;14.0;12/02/2021 16:29;complet;dev_express;256.97;176;"""Non""";"""60k+"""
M;0;Commercial;Pickup;no;1.0;27/04/2022 15:06;complet;dev_express;260.6;177;"""Non""";"""20_40k"""
M;1;Private;z_SUV;no;14.0;12/07/2021 17:11;incomplet;dev_express;260.02;178;"""Oui""";"""40_60k"""
F;0;Commercial;Pickup;yes;7.0;27/09/2021 18:40;complet;dev_express;259.38;179;"""Oui""";"""20_40k"""
F;0;Private;z_SUV;no;1.0;26/02/2020 17:45;complet;dev_integral;292.16;180;"""Non""";"""0-20k"""
F;0;Private;Minivan;yes;1.0;22/05/2020 05:02;complet;dev_express;269.2;181;"""Non""";"""20_40k"""
M;0;Private;Van;yes;;26/06/2020 12:30;incomplet;dev_integral;330.82;182;"""Non""";"""60k+"""
F;0;Private;z_SUV;no;7.0;04/06/2019 13:56;complet;dev_integral;300.76;183;"""Non""";Non renseigné
F;0;Commercial;Panel Truck;no;14.0;08/05/2021 10:37;complet;dev_express;265.48;184;"""Non""";"""40_60k"""
F;1;Private;z_SUV;no;1.0;06/11/2020 22:13;complet;dev_integral;320.27;185;"""Oui""";"""20_40k"""
F;0;Private;Minivan;no;8.0;12/07/2020 11:59;complet;dev_express;260.94;186;"""Oui""";"""40_60k"""
F;0;Private;z_SUV;no;10.0;17/10/2019 10:22;complet;dev_integral;321.25;187;"""Oui""";"""60k+"""
M;0;Private;Minivan;yes;10.0;31/08/2020 13:40;complet;dev_integral;281.68;188;"""Oui""";"""60k+"""
M;0;Commercial;Pickup;yes;1.0;05/06/2019 14:14;complet;dev_integral;306.73;189;"""Non""";"""20_40k"""
M;0;Private;Minivan;yes;;13/04/2022 00:52;complet;dev_express;257.29;190;"""Non""";Non renseigné
F;0;Private;Sports Car;no;1.0;22/03/2022 13:32;complet;dev_integral;285.83;191;"""Non""";"""40_60k"""
F;0;Commercial;Pickup;no;16.0;05/01/2020 05:39;complet;dev_integral;313.57;192;"""Oui""";"""20_40k"""
F;0;Private;Minivan;no;18.0;26/03/2019 05:06;complet;dev_integral;303.61;193;"""Non""";"""60k+"""
M;0;Private;z_SUV;no;1.0;06/02/2021 04:02;complet;dev_express;270.25;194;"""Non""";"""20_40k"""
F;0;Private;Sports Car;no;17.0;20/01/2021 06:38;complet;dev_integral;331.94;195;"""Non""";"""60k+"""
M;0;Private;Minivan;no;4.0;12/09/2020 18:19;complet;dev_express;282.92;196;"""Non""";"""60k+"""
F;0;Commercial;Van;no;1.0;28/06/2020 12:20;complet;dev_express;270.41;197;"""Oui""";"""20_40k"""
M;0;Private;Sports Car;no;11.0;23/10/2020 06:55;complet;dev_express;275.25;198;"""Non""";"""60k+"""
M;0;Commercial;Panel Truck;yes;1.0;22/03/2021 06:01;complet;dev_express;276.52;199;"""Non""";"""40_60k"""
M;0;Private;Sports Car;no;7.0;23/11/2019 09:35;incomplet;dev_express;282.92;200;"""Non""";"""20_40k"""
F;0;Private;z_SUV;no;9.0;22/03/2019 07:14;incomplet;dev_integral;320.5;201;"""Non""";"""0-20k"""
M;1;Private;Sports Car;no;7.0;21/11/2021 15:49;complet;dev_premium;504.65;202;"""Oui""";"""0-20k"""
M;0;Private;z_SUV;no;7.0;19/02/2021 18:54;complet;dev_integral;317.25;203;"""Non""";"""20_40k"""
M;0;Private;z_SUV;no;9.0;26/06/2020 08:30;complet;dev_express;270.11;204;"""Non""";"""20_40k"""
F;1;Private;Minivan;no;1.0;15/07/2020 22:33;incomplet;dev_express;264.23;205;"""Oui""";"""0-20k"""
F;0;Private;Sports Car;no;9.0;30/04/2020 17:48;incomplet;dev_express;253.11;206;"""Non""";"""20_40k"""
M;0;Private;Minivan;yes;5.0;07/10/2020 13:31;complet;dev_integral;315.88;207;"""Oui""";"""20_40k"""
M;1;Private;z_SUV;no;9.0;24/03/2020 11:53;complet;dev_integral;283.43;208;"""Oui""";"""0-20k"""
M;0;Commercial;Panel Truck;no;19.0;04/11/2019 10:39;incomplet;dev_integral;332.85;209;"""Non""";"""60k+"""
F;0;Private;Sports Car;no;1.0;13/05/2019 13:55;complet;dev_express;265.59;210;"""Non""";"""40_60k"""
M;0;Private;Van;no;19.0;07/11/2019 11:39;complet;dev_integral;332.57;211;"""Non""";"""60k+"""
F;0;Private;Sports Car;no;1.0;03/09/2020 06:05;complet;dev_premium;503.26;212;"""Non""";"""20_40k"""
M;0;Private;z_SUV;no;5.0;28/08/2021 09:37;complet;dev_express;266.3;213;"""Non""";"""60k+"""
F;0;Commercial;Minivan;yes;;19/10/2020 22:18;complet;dev_express;260.76;214;"""Non""";"""20_40k"""
F;0;Commercial;Pickup;no;6.0;06/01/2021 13:08;complet;dev_express;275.78;215;"""Non""";"""60k+"""
M;0;Private;Minivan;no;13.0;20/12/2020 20:10;complet;dev_express;256.48;216;"""Oui""";"""40_60k"""
F;0;Private;z_SUV;no;;22/04/2022 03:39;complet;dev_integral;282.37;217;"""Non""";"""60k+"""
F;0;Commercial;Pickup;no;1.0;29/06/2021 05:42;incomplet;dev_premium;542.11;218;"""Oui""";"""40_60k"""
M;0;Private;Minivan;no;15.0;20/03/2021 01:27;complet;dev_premium;500.01;219;"""Non""";"""60k+"""
F;0;Commercial;Pickup;yes;1.0;10/11/2021 17:47;complet;dev_premium;454.56;220;"""Non""";"""40_60k"""
F;0;Private;Sports Car;no;7.0;03/04/2021 14:42;complet;dev_premium;520.1;221;"""Oui""";"""20_40k"""
F;0;Commercial;Pickup;no;10.0;24/04/2021 06:27;complet;dev_express;270.12;222;"""Non""";"""60k+"""
M;0;Private;Minivan;no;17.0;23/09/2021 10:51;complet;dev_integral;297.42;223;"""Oui""";"""0-20k"""
M;3;Private;z_SUV;no;10.0;20/09/2020 10:50;complet;dev_integral;310.45;224;"""Oui""";Non renseigné
F;0;Private;z_SUV;no;10.0;04/11/2020 21:29;incomplet;dev_express;271.81;225;"""Oui""";"""60k+"""
F;0;Private;z_SUV;no;1.0;23/03/2022 22:44;complet;dev_vip;871.83;226;"""Non""";"""40_60k"""
F;1;Private;Van;no;10.0;26/10/2021 20:09;complet;dev_express;278.77;227;"""Oui""";"""60k+"""
M;0;Private;Minivan;yes;1.0;22/12/2021 05:33;complet;dev_express;264.93;228;"""Non""";"""60k+"""
M;0;Private;Pickup;no;6.0;18/09/2020 04:03;incomplet;dev_express;258.22;229;"""Non""";"""60k+"""
F;0;Commercial;z_SUV;no;1.0;18/05/2020 14:54;complet;dev_integral;319.13;230;"""Oui""";"""0-20k"""
